Treatments,mOD_min_mg_protein,Block
CT,103.41,1
CT,44.439,2
CT,87.101,3
CT,48.332,4
CT,22.449,5
CT,104.869,6
CT,188.058,7
CT,119.607,8
WT,147.301,1
WT,96.966,2
WT,282.753,3
WT,182.191,4
WT,208.34,5
WT,554.635,6
WT,220.83,7
WT,242.276,8
GT,260.203,1
GT,205.251,2
GT,562.833,3
GT,317.582,4
GT,441.247,5
GT,116.505,6
GT,183.442,7
GT,265.727,8
HT,67.423,1
HT,330.421,2
HT,146.723,3
HT,167.164,4
HT,152.823,5
HT,231.6,6
HT,124.583,7
HT,231.751,8
PT,289.559,1
PT,242.854,2
PT,103.258,3
PT,297.909,4
PT,139.086,5
PT,343.694,6
PT,171.579,7
PT,194.948,8
