Treatments,mOD_min_mg_protein,Block,Trials
CT,28.845,1,1
CT,215.17,2,1
CT,26.554,3,1
CT,37.224,4,1
CT,108.707,5,1
CT,97.329,6,1
CT,141.175,7,1
WT,79.142,1,1
WT,600.69,2,1
WT,548.191,3,1
WT,510.791,4,1
WT,505.645,5,1
WT,437.628,6,1
WT,919.726,7,1
GT,767.088,1,1
GT,1235.737,2,1
GT,114.88,3,1
GT,312.919,4,1
GT,236.182,5,1
GT,335.276,6,1
GT,1143.231,7,1
HT,917.506,1,1
HT,629.395,2,1
HT,709.959,3,1
HT,2008.382,4,1
HT,997.403,5,1
HT,302.622,6,1
HT,320.934,7,1
PT,364.479,1,1
PT,189.286,2,1
PT,262.853,3,1
PT,183.472,4,1
PT,303.479,5,1
PT,831.255,6,1
PT,699.394,7,1
CT,103.41,1,2
CT,44.439,2,2
CT,87.101,3,2
CT,48.332,4,2
CT,22.449,5,2
CT,104.869,6,2
CT,188.058,7,2
CT,119.607,8,2
WT,147.301,1,2
WT,96.966,2,2
WT,282.753,3,2
WT,182.191,4,2
WT,208.34,5,2
WT,554.635,6,2
WT,220.83,7,2
WT,242.276,8,2
GT,260.203,1,2
GT,205.251,2,2
GT,562.833,3,2
GT,317.582,4,2
GT,441.247,5,2
GT,116.505,6,2
GT,183.442,7,2
GT,265.727,8,2
HT,67.423,1,2
HT,330.421,2,2
HT,146.723,3,2
HT,167.164,4,2
HT,152.823,5,2
HT,231.6,6,2
HT,124.583,7,2
HT,231.751,8,2
PT,289.559,1,2
PT,242.854,2,2
PT,103.258,3,2
PT,297.909,4,2
PT,139.086,5,2
PT,343.694,6,2
PT,171.579,7,2
PT,194.948,8,2
CT,67.654,1,3
CT,103.219,2,3
CT,139.647,3,3
CT,185.276,4,3
CT,19.921,5,3
CT,93.313,6,3
CT,39.158,7,3
CT,107.865,8,3
CT,56.406,9,3
WT,695.187,1,3
WT,755.777,2,3
WT,565.976,3,3
WT,1228.811,4,3
WT,1001.066,5,3
WT,444.363,6,3
WT,782.873,7,3
WT,727.404,8,3
WT,1365.493,9,3
GT,4651.007,1,3
GT,1337.863,2,3
GT,750.358,3,3
GT,1999.046,4,3
GT,10484.793,5,3
GT,1725.136,6,3
GT,1288.072,7,3
GT,1840.67,8,3
GT,1859.706,9,3
HT,1022.176,1,3
HT,1883.462,2,3
HT,372.87,3,3
HT,446.54,4,3
HT,381.449,5,3
HT,1225.383,6,3
HT,1396.885,7,3
HT,2920.668,8,3
HT,6041.86,9,3
PT,750.581,1,3
PT,1343.196,2,3
PT,779.644,3,3
PT,514.004,4,3
PT,689.271,5,3
PT,1410.533,6,3
PT,1910.562,7,3
PT,1465.12,8,3
PT,1015.416,9,3
