Treatments,mOD_min_mg_protein,Block
CT,67.654,1
CT,103.219,2
CT,139.647,3
CT,185.276,4
CT,19.921,5
CT,93.313,6
CT,39.158,7
CT,107.865,8
CT,56.406,9
WT,695.187,1
WT,755.777,2
WT,565.976,3
WT,1228.811,4
WT,1001.066,5
WT,444.363,6
WT,782.873,7
WT,727.404,8
WT,1365.493,9
GT,4651.007,1
GT,1337.863,2
GT,750.358,3
GT,1999.046,4
GT,10484.793,5
GT,1725.136,6
GT,1288.072,7
GT,1840.67,8
GT,1859.706,9
HT,1022.176,1
HT,1883.462,2
HT,372.87,3
HT,446.54,4
HT,381.449,5
HT,1225.383,6
HT,1396.885,7
HT,2920.668,8
HT,6041.86,9
PT,750.581,1
PT,1343.196,2
PT,779.644,3
PT,514.004,4
PT,689.271,5
PT,1410.533,6
PT,1910.562,7
PT,1465.12,8
PT,1015.416,9
