Treatments,mOD_min_mg_protein,Block
CT,28.845,1
CT,215.17,2
CT,26.554,3
CT,37.224,4
CT,108.707,5
CT,97.329,6
CT,141.175,7
WT,79.142,1
WT,600.69,2
WT,548.191,3
WT,510.791,4
WT,505.645,5
WT,437.628,6
WT,919.726,7
GT,767.088,1
GT,1235.737,2
GT,114.88,3
GT,312.919,4
GT,236.182,5
GT,335.276,6
GT,1143.231,7
HT,917.506,1
HT,629.395,2
HT,709.959,3
HT,2008.382,4
HT,997.403,5
HT,302.622,6
HT,320.934,7
PT,364.479,1
PT,189.286,2
PT,262.853,3
PT,183.472,4
PT,303.479,5
PT,831.255,6
PT,699.394,7
