Treatments,mOD_min_mg_protein,Block,Trials
CT,3019.988,1,1
CT,5028.677,2,1
CT,2790.848,3,1
CT,2997.889,4,1
CT,6386.087,5,1
CT,4598.464,6,1
CT,7817.241,7,1
WT,5665.955,1,1
WT,3482.817,2,1
WT,5979.937,3,1
WT,6075.488,4,1
WT,6971.068,5,1
WT,5734.158,6,1
WT,8061.555,7,1
GT,3996.545,1,1
GT,2826.224,2,1
GT,2431.603,3,1
GT,2588.718,4,1
GT,3842.938,5,1
GT,3945.66,6,1
GT,5840.666,7,1
HT,6073.719,1,1
HT,9071.946,2,1
HT,5956.449,3,1
HT,5884.871,4,1
HT,8959.486,5,1
HT,3964.336,6,1
HT,3464.994,7,1
PT,3856.992,1,1
PT,3478.26,2,1
PT,4383.707,3,1
PT,3458.354,4,1
PT,4689.702,5,1
PT,7816.78,6,1
PT,3972.05,7,1
CT,102.585,1,2
CT,105.225,2,2
CT,1599.729,3,2
CT,204.33,4,2
CT,2216.866,5,2
CT,2028.739,6,2
CT,2428.5,7,2
CT,258.569,8,2
WT,38.939,1,2
WT,69.555,2,2
WT,147.657,3,2
WT,11.572,4,2
WT,1923.856,5,2
WT,2329.177,6,2
WT,1321.677,7,2
WT,325.129,8,2
GT,115.908,1,2
GT,160.136,2,2
GT,485.222,3,2
GT,1090.361,4,2
GT,2345.558,5,2
GT,1307.544,6,2
GT,2018.507,7,2
GT,1491.699,8,2
HT,1226.584,1,2
HT,220.279,2,2
HT,916.213,4,2
HT,177.907,5,2
HT,1055.224,6,2
HT,488.403,7,2
HT,2456.793,8,2
PT,242.398,1,2
PT,282.648,2,2
PT,1595.543,3,2
PT,334.888,4,2
PT,1130.904,5,2
PT,224.121,6,2
PT,929.824,7,2
PT,2315.281,8,2
CT,4206.021,1,3
CT,3857.69,2,3
CT,3842.062,3,3
CT,7668.529,4,3
CT,2095.711,5,3
CT,4577.38,6,3
CT,4776.453,7,3
CT,1917.612,8,3
CT,4109.435,9,3
WT,6927.4,1,3
WT,6050.183,2,3
WT,5558.605,3,3
WT,3685.742,4,3
WT,3278.09,5,3
WT,6864.838,6,3
WT,6178.245,7,3
WT,5033.802,8,3
WT,10141.565,9,3
GT,18720.252,1,3
GT,4851.52,2,3
GT,4094.645,3,3
GT,12031.324,4,3
GT,35631.336,5,3
GT,5318.929,6,3
GT,7738.139,7,3
GT,4939.907,8,3
GT,8257.306,9,3
HT,3842.534,1,3
HT,8512.798,2,3
HT,4689.996,3,3
HT,4603.077,4,3
HT,4558.727,5,3
HT,4242.91,6,3
HT,5596.454,7,3
HT,20976.569,8,3
HT,18327.485,9,3
PT,5170.483,1,3
PT,3113.321,2,3
PT,4746.253,3,3
PT,4330.246,4,3
PT,3485.055,5,3
PT,3156.793,6,3
PT,7974.68,7,3
PT,3888.851,8,3
PT,3255.428,9,3
