Treatments,mOD_min_mg_protein,Block
CT,4206.021,1
CT,3857.69,2
CT,3842.062,3
CT,7668.529,4
CT,2095.711,5
CT,4577.38,6
CT,4776.453,7
CT,1917.612,8
CT,4109.435,9
WT,6927.4,1
WT,6050.183,2
WT,5558.605,3
WT,3685.742,4
WT,3278.09,5
WT,6864.838,6
WT,6178.245,7
WT,5033.802,8
WT,10141.565,9
GT,18720.252,1
GT,4851.52,2
GT,4094.645,3
GT,12031.324,4
GT,35631.336,5
GT,5318.929,6
GT,7738.139,7
GT,4939.907,8
GT,8257.306,9
HT,3842.534,1
HT,8512.798,2
HT,4689.996,3
HT,4603.077,4
HT,4558.727,5
HT,4242.91,6
HT,5596.454,7
HT,20976.569,8
HT,18327.485,9
PT,5170.483,1
PT,3113.321,2
PT,4746.253,3
PT,4330.246,4
PT,3485.055,5
PT,3156.793,6
PT,7974.68,7
PT,3888.851,8
PT,3255.428,9
