Treatments,mOD_min_mg_protein,Block
CT,3019.988,1
CT,5028.677,2
CT,2790.848,3
CT,2997.889,4
CT,6386.087,5
CT,4598.464,6
CT,7817.241,7
WT,5665.955,1
WT,3482.817,2
WT,5979.937,3
WT,6075.488,4
WT,6971.068,5
WT,5734.158,6
WT,8061.555,7
GT,3996.545,1
GT,2826.224,2
GT,2431.603,3
GT,2588.718,4
GT,3842.938,5
GT,3945.66,6
GT,5840.666,7
HT,6073.719,1
HT,9071.946,2
HT,5956.449,3
HT,5884.871,4
HT,8959.486,5
HT,3964.336,6
HT,3464.994,7
PT,3856.992,1
PT,3478.26,2
PT,4383.707,3
PT,3458.354,4
PT,4689.702,5
PT,7816.78,6
PT,3972.05,7
