Treatments,inhibition_mg_protein,Block,Trials
CT,560,1,1
CT,3790,2,1
CT,567,3,1
CT,2100,4,1
CT,4430,5,1
CT,1220,6,1
CT,327,7,1
WT,1010,1,1
WT,427,2,1
WT,2390,3,1
WT,1630,4,1
WT,1690,5,1
WT,771,6,1
WT,136,7,1
GT,2070,1,1
GT,1190,2,1
GT,2010,3,1
GT,943,4,1
GT,974,5,1
GT,2700,6,1
GT,1780,7,1
HT,1170,1,1
HT,1550,2,1
HT,1060,3,1
HT,767,4,1
HT,3650,5,1
HT,852,6,1
HT,427,7,1
PT,669,1,1
PT,992,2,1
PT,983,3,1
PT,2300,4,1
PT,1250,5,1
PT,347,6,1
PT,90.3,7,1
CT,1170,1,2
CT,1520,2,2
CT,899,3,2
CT,1190,4,2
CT,6770,5,2
CT,3510,6,2
CT,8850,7,2
CT,5780,8,2
WT,1040,1,2
WT,1490,2,2
WT,619,3,2
WT,1230,4,2
WT,7110,5,2
WT,8930,6,2
WT,15400,7,2
WT,6620,8,2
GT,1040,1,2
GT,1210,2,2
GT,1210,3,2
GT,1450,4,2
GT,7990,5,2
GT,5010,6,2
GT,5090,7,2
GT,9190,8,2
HT,50.4,1,2
HT,911,2,2
HT,34.3,3,2
HT,899,4,2
HT,6980,5,2
HT,6500,6,2
HT,3300,7,2
HT,8230,8,2
PT,1170,1,2
PT,1470,2,2
PT,1580,3,2
PT,1220,4,2
PT,8000,5,2
PT,8830,6,2
PT,7890,7,2
PT,3370,8,2
CT,7010,1,3
CT,5830,2,3
CT,6340,3,3
CT,9880,4,3
CT,4640,5,3
CT,5580,6,3
CT,8710,7,3
CT,3390,8,3
CT,6800,9,3
WT,8340,1,3
WT,7210,2,3
WT,7230,3,3
WT,3490,4,3
WT,4790,5,3
WT,4960,6,3
WT,10500,7,3
WT,5990,8,3
WT,7930,9,3
GT,32000,1,3
GT,5130,2,3
GT,13400,3,3
GT,64000,5,3
GT,10200,6,3
GT,7950,8,3
GT,10200,9,3
HT,8460,1,3
HT,22400,2,3
HT,5740,3,3
HT,7680,4,3
HT,10800,5,3
HT,10000,6,3
HT,7490,7,3
HT,35600,8,3
HT,12300,9,3
PT,5750,1,3
PT,4060,2,3
PT,3970,3,3
PT,11200,4,3
PT,5670,5,3
PT,5770,6,3
PT,1270,7,3
PT,8910,8,3
PT,11100,9,3
